Sample in Buffer,Sample in Window,TRIGGER,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/cnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/scalarOutCnt[14:0],test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/io_bus_payload_last,test_i/DataPath_xN_0/U0/coreArea_0_core/sample/logitsIn_valid,test_i/DataPath_xN_0/U0/coreArea_0_core/engine/scalarOut_tvalid,test_i/DataPath_xN_0/U0/coreArea_0_core/busIn/wkvFire
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
172,172,0,31996,7cfc,0,0,0,0
173,173,0,31996,7cfc,0,0,0,0
174,174,0,31996,7cfc,0,0,0,0
175,175,0,31996,7cfc,0,0,0,0
176,176,0,31996,7cfc,0,0,0,0
177,177,0,31996,7cfc,0,0,0,0
178,178,0,31996,7cfc,0,0,0,0
179,179,0,31996,7cfc,0,0,0,0
180,180,0,31996,7cfc,0,0,0,0
181,181,0,31996,7cfc,0,0,0,0
182,182,0,31996,7cfc,0,0,0,0
183,183,0,31996,7cfc,0,0,0,0
184,184,0,31996,7cfc,0,0,0,0
185,185,0,31996,7cfc,0,0,0,0
186,186,0,31996,7cfc,0,0,0,0
187,187,0,31996,7cfc,0,0,0,0
188,188,0,31996,7cfc,0,0,0,0
189,189,0,31996,7cfc,0,0,0,0
190,190,0,31996,7cfc,0,0,0,0
191,191,0,31996,7cfc,0,0,0,0
192,192,0,31996,7cfc,0,0,0,0
193,193,0,31996,7cfc,0,0,0,0
194,194,0,31996,7cfc,0,0,0,0
195,195,0,31996,7cfc,0,0,0,0
196,196,0,31996,7cfc,0,0,0,0
197,197,0,31996,7cfc,0,0,0,0
198,198,0,31996,7cfc,0,0,0,0
199,199,0,31996,7cfc,0,0,0,0
200,200,1,31996,7cfc,0,0,1,0
201,201,0,31996,7cfd,0,0,0,0
202,202,0,31996,7cfd,0,0,0,0
203,203,0,31996,7cfd,0,1,0,0
204,204,0,31997,7cfd,0,0,0,0
205,205,0,31997,7cfd,0,0,0,0
206,206,0,31997,7cfd,0,0,0,0
207,207,0,31997,7cfd,0,0,0,0
208,208,0,31997,7cfd,0,0,0,0
209,209,0,31997,7cfd,0,0,0,0
210,210,0,31997,7cfd,0,0,0,0
211,211,0,31997,7cfd,0,0,0,0
212,212,0,31997,7cfd,0,0,0,0
213,213,0,31997,7cfd,0,0,0,0
214,214,0,31997,7cfd,0,0,0,0
215,215,0,31997,7cfd,0,0,0,0
216,216,0,31997,7cfd,0,0,0,0
217,217,0,31997,7cfd,0,0,0,0
218,218,0,31997,7cfd,0,0,0,0
219,219,0,31997,7cfd,0,0,0,0
220,220,0,31997,7cfd,0,0,0,0
221,221,0,31997,7cfd,0,0,0,0
222,222,0,31997,7cfd,0,0,0,0
223,223,0,31997,7cfd,0,0,0,0
224,224,0,31997,7cfd,0,0,0,0
225,225,0,31997,7cfd,0,0,0,0
226,226,0,31997,7cfd,0,0,0,0
227,227,0,31997,7cfd,0,0,0,0
228,228,0,31997,7cfd,0,0,0,0
229,229,0,31997,7cfd,0,0,0,0
230,230,0,31997,7cfd,0,0,0,0
231,231,0,31997,7cfd,0,0,0,0
232,232,0,31997,7cfd,0,0,0,0
233,233,0,31997,7cfd,0,0,1,0
234,234,0,31997,7cfe,0,0,0,0
235,235,0,31997,7cfe,0,0,0,0
236,236,0,31997,7cfe,0,1,0,0
237,237,0,31998,7cfe,0,0,0,0
238,238,0,31998,7cfe,0,0,0,0
239,239,0,31998,7cfe,0,0,0,0
240,240,0,31998,7cfe,0,0,0,0
241,241,0,31998,7cfe,0,0,0,0
242,242,0,31998,7cfe,0,0,0,0
243,243,0,31998,7cfe,0,0,0,0
244,244,0,31998,7cfe,0,0,0,0
245,245,0,31998,7cfe,0,0,0,0
246,246,0,31998,7cfe,0,0,0,0
247,247,0,31998,7cfe,0,0,0,0
248,248,0,31998,7cfe,0,0,0,0
249,249,0,31998,7cfe,0,0,0,0
250,250,0,31998,7cfe,0,0,0,0
251,251,0,31998,7cfe,0,0,0,0
252,252,0,31998,7cfe,0,0,0,0
253,253,0,31998,7cfe,0,0,0,0
254,254,0,31998,7cfe,0,0,0,0
255,255,0,31998,7cfe,0,0,0,0
256,256,0,31998,7cfe,0,0,0,0
257,257,0,31998,7cfe,0,0,0,0
258,258,0,31998,7cfe,0,0,0,0
259,259,0,31998,7cfe,0,0,0,0
260,260,0,31998,7cfe,0,0,0,0
261,261,0,31998,7cfe,0,0,0,0
262,262,0,31998,7cfe,0,0,0,0
263,263,0,31998,7cfe,0,0,0,0
264,264,0,31998,7cfe,0,0,0,0
265,265,0,31998,7cfe,0,0,0,0
266,266,0,31998,7cfe,0,0,0,0
267,267,0,31998,7cfe,0,0,0,0
268,268,0,31998,7cfe,0,0,0,0
269,269,0,31998,7cfe,0,0,0,0
270,270,0,31998,7cfe,0,0,0,0
271,271,0,31998,7cfe,0,0,0,0
272,272,0,31998,7cfe,0,0,0,0
273,273,0,31998,7cfe,0,0,0,0
274,274,0,31998,7cfe,0,0,0,0
275,275,0,31998,7cfe,0,0,0,0
276,276,0,31998,7cfe,0,0,0,0
277,277,0,31998,7cfe,0,0,0,0
278,278,0,31998,7cfe,0,0,0,0
279,279,0,31998,7cfe,0,0,0,0
280,280,0,31998,7cfe,0,0,0,0
281,281,0,31998,7cfe,0,0,0,0
282,282,0,31998,7cfe,0,0,0,0
283,283,0,31998,7cfe,0,0,0,0
284,284,0,31998,7cfe,0,0,0,0
285,285,0,31998,7cfe,0,0,0,0
286,286,0,31998,7cfe,0,0,0,0
287,287,0,31998,7cfe,0,0,0,0
288,288,0,31998,7cfe,0,0,0,0
289,289,0,31998,7cfe,0,0,0,0
290,290,0,31998,7cfe,0,0,0,1
291,291,0,31998,7cfe,0,0,0,1
292,292,0,31998,7cfe,0,0,0,1
293,293,0,31998,7cfe,0,0,0,1
294,294,0,31998,7cfe,0,0,0,1
295,295,0,31998,7cfe,0,0,0,1
296,296,0,31998,7cfe,0,0,0,1
297,297,0,31998,7cfe,0,0,0,1
298,298,0,31998,7cfe,0,0,0,0
299,299,0,31998,7cfe,0,0,0,0
300,300,0,31998,7cfe,0,0,0,0
301,301,0,31998,7cfe,0,0,0,0
302,302,0,31998,7cfe,0,0,0,0
303,303,0,31998,7cfe,0,0,0,0
304,304,0,31998,7cfe,0,0,0,0
305,305,0,31998,7cfe,0,0,0,0
306,306,0,31998,7cfe,0,0,0,0
307,307,0,31998,7cfe,0,0,0,0
308,308,0,31998,7cfe,0,0,0,0
309,309,0,31998,7cfe,0,0,0,0
310,310,0,31998,7cfe,0,0,0,0
311,311,0,31998,7cfe,0,0,0,0
312,312,0,31998,7cfe,0,0,0,1
313,313,0,31998,7cfe,0,0,0,1
314,314,0,31998,7cfe,0,0,0,1
315,315,0,31998,7cfe,0,0,0,1
316,316,0,31998,7cfe,0,0,0,1
317,317,0,31998,7cfe,0,0,0,1
318,318,0,31998,7cfe,0,0,0,1
319,319,0,31998,7cfe,0,0,0,1
320,320,0,31998,7cfe,0,0,0,1
321,321,0,31998,7cfe,0,0,0,1
322,322,0,31998,7cfe,0,0,0,1
323,323,0,31998,7cfe,0,0,0,1
324,324,0,31998,7cfe,0,0,0,1
325,325,0,31998,7cfe,0,0,0,1
326,326,0,31998,7cfe,0,0,0,1
327,327,0,31998,7cfe,0,0,0,1
328,328,0,31998,7cfe,0,0,0,1
329,329,0,31998,7cfe,0,0,0,1
330,330,0,31998,7cfe,0,0,0,1
331,331,0,31998,7cfe,0,0,0,1
332,332,0,31998,7cfe,0,0,0,1
333,333,0,31998,7cfe,0,0,0,1
334,334,0,31998,7cfe,0,0,0,1
335,335,0,31998,7cfe,0,0,0,0
336,336,0,31998,7cfe,0,0,0,1
337,337,0,31998,7cfe,0,0,0,1
338,338,0,31998,7cfe,0,0,0,1
339,339,0,31998,7cfe,0,0,0,1
340,340,0,31998,7cfe,0,0,0,1
341,341,0,31998,7cfe,0,0,0,1
342,342,0,31998,7cfe,0,0,0,1
343,343,0,31998,7cfe,0,0,0,1
344,344,0,31998,7cfe,0,0,0,1
345,345,0,31998,7cfe,0,0,0,1
346,346,0,31998,7cfe,0,0,0,1
347,347,0,31998,7cfe,0,0,0,1
348,348,0,31998,7cfe,0,0,0,1
349,349,0,31998,7cfe,0,0,0,1
350,350,0,31998,7cfe,0,0,0,1
351,351,0,31998,7cfe,0,0,0,1
352,352,0,31998,7cfe,0,0,0,1
353,353,0,31998,7cfe,0,0,0,1
354,354,0,31998,7cfe,0,0,0,1
355,355,0,31998,7cfe,0,0,0,1
356,356,0,31998,7cfe,0,0,0,1
357,357,0,31998,7cfe,0,0,0,1
358,358,0,31998,7cfe,0,0,0,1
359,359,0,31998,7cfe,0,0,0,1
360,360,0,31998,7cfe,0,0,0,1
361,361,0,31998,7cfe,0,0,0,1
362,362,0,31998,7cfe,0,0,0,1
363,363,0,31998,7cfe,0,0,0,1
364,364,0,31998,7cfe,0,0,0,1
365,365,0,31998,7cfe,0,0,0,1
366,366,0,31998,7cfe,0,0,0,1
367,367,0,31998,7cfe,1,0,0,1
368,368,0,31998,7cfe,1,0,0,0
369,369,0,31998,7cfe,1,0,0,0
370,370,0,31998,7cfe,1,0,0,0
371,371,0,31998,7cfe,1,0,0,0
372,372,0,31998,7cfe,1,0,0,0
373,373,0,31998,7cfe,1,0,0,0
374,374,0,31998,7cfe,1,0,0,0
375,375,0,31998,7cfe,1,0,0,0
376,376,0,31998,7cfe,1,0,0,0
377,377,0,31998,7cfe,1,0,0,0
378,378,0,31998,7cfe,1,0,0,0
379,379,0,31998,7cfe,1,0,0,0
380,380,0,31998,7cfe,1,0,0,0
381,381,0,31998,7cfe,1,0,0,0
